##time cpu memory heapTotal heapUsed
6000 23.65 68.41 57.48 30.53
11000 0.00 68.41 57.48 30.56
16000 0.00 68.41 57.48 30.58
21000 0.00 68.41 57.48 30.60
26000 0.20 68.41 57.48 30.62
31000 0.00 68.41 57.48 30.63
36000 0.00 68.41 57.48 30.65
41000 0.00 68.41 57.48 30.67
46000 0.20 68.41 57.48 30.69
51000 0.00 68.41 57.48 30.70
56000 0.00 68.41 57.48 30.72
61000 0.00 68.41 57.48 30.74
66000 0.20 68.41 57.48 30.75
71000 0.00 68.41 57.48 30.77
76000 0.20 68.41 57.48 30.79
81000 0.00 68.41 57.48 30.80
86000 0.00 68.41 57.48 30.82
91000 1.20 69.29 57.48 33.55
96000 15.20 81.25 68.26 37.56
101000 9.00 83.05 69.24 26.44
106000 2.00 83.05 69.24 27.26
111000 2.00 83.31 69.24 28.09
116000 1.80 83.31 69.24 28.68
121000 2.20 83.31 69.24 29.47
126000 2.20 83.57 69.24 30.20
131000 1.80 83.57 69.24 30.83
136000 1.80 83.57 69.24 31.41
141000 2.20 83.57 69.24 32.05
146000 2.20 83.57 69.24 32.87
151000 1.80 83.57 69.24 33.50
156000 2.00 83.57 69.24 34.17
161000 1.80 83.57 69.24 34.76
166000 2.00 83.57 69.24 35.40
171000 2.20 83.57 69.24 36.23
176000 2.00 83.57 69.24 36.91
181000 2.00 83.57 69.24 23.10
186000 1.60 83.57 69.24 23.66
191000 1.60 83.57 69.24 24.25
196000 2.60 83.83 69.24 25.09
201000 1.80 83.83 69.24 25.72
206000 2.20 83.83 69.24 26.41
211000 1.60 83.83 69.24 26.96
216000 1.80 83.83 69.24 27.55
221000 2.40 83.83 69.24 28.39
226000 1.80 83.83 69.24 29.01
231000 1.80 83.83 69.24 29.61
236000 2.00 83.83 69.24 30.21
241000 1.60 83.83 69.24 30.80
246000 2.40 84.09 69.24 31.63
251000 2.40 84.09 69.24 32.41
256000 1.80 84.34 69.24 33.04
