##time cpu memory heapTotal heapUsed
8000 66.18 136.99 124.38 83.56
13000 0.20 136.99 124.38 83.60
18000 0.00 136.99 124.38 83.63
23000 0.00 136.99 124.38 83.65
28000 0.20 136.99 124.38 83.67
33000 0.00 136.99 124.38 83.69
38000 0.00 136.99 124.38 83.71
43000 0.00 136.99 124.38 83.73
48000 0.20 136.99 124.38 83.75
53000 0.00 136.99 124.38 83.77
58000 0.00 136.99 124.38 83.79
63000 0.20 136.99 124.38 83.82
68000 0.00 136.99 124.38 83.84
73000 0.00 136.99 124.38 83.86
78000 0.00 136.99 124.38 83.88
83000 0.20 136.99 124.38 83.90
88000 0.00 136.99 124.38 83.92
93000 50.74 207.72 189.27 154.35
98000 101.00 396.94 374.27 344.34
103000 101.00 567.99 542.52 496.59
109000 102.75 761.31 731.45 681.42
114000 99.41 924.13 889.85 837.45
118000 34.23 959.20 923.31 882.88
123000 35.80 984.70 948.75 910.08
128000 29.80 1005.03 967.36 933.30
133000 31.60 1028.57 988.90 950.37
138000 31.14 1050.20 1008.48 978.57
143000 30.00 1071.81 1029.05 1005.85
148000 29.20 1095.14 1050.59 1016.77
153000 30.00 1117.96 1070.19 1048.06
158000 30.00 1145.45 1096.65 1072.55
163000 55.40 1149.68 1100.59 962.43
168000 28.60 1149.93 1100.59 985.76
173000 31.74 1151.22 1101.57 1017.13
178000 27.66 1162.31 1112.40 1036.29
183000 31.54 1175.97 1126.18 1055.47
188000 29.60 1187.83 1137.00 1081.43
193000 29.80 1202.79 1150.78 1093.72
198000 29.94 1215.93 1161.61 1122.28
203000 28.60 1229.08 1173.42 1144.96
208000 31.60 1246.59 1188.17 1160.52
213000 33.53 1271.73 1211.68 1193.15
218000 30.46 1305.05 1245.04 1215.64
223000 30.14 1331.75 1268.57 1243.08
228000 59.14 1331.19 1267.72 1090.13
233000 30.28 1331.19 1267.72 1107.46
238000 30.60 1331.45 1267.72 1138.96
243000 28.20 1331.96 1267.72 1161.29
248000 29.40 1336.09 1271.66 1174.89
253000 29.80 1347.69 1282.48 1200.72
258000 31.87 1361.61 1296.26 1222.35
263000 39.08 1374.76 1309.05 1247.43
268000 44.51 1389.46 1321.85 1272.52
273000 37.60 1403.12 1333.66 1292.37
278000 30.54 1418.07 1346.45 1310.54
283000 27.86 1431.74 1360.22 1331.68
288000 30.80 1455.12 1380.78 1361.71
293000 29.20 1479.78 1404.31 1373.88
298000 28.60 1502.11 1424.87 1395.92
303000 31.40 1526.23 1447.40 1427.43
308000 66.40 1505.77 1427.01 1222.46
313000 25.00 1505.77 1427.01 1248.75
318000 32.60 1505.77 1427.01 1271.49
323000 29.80 1506.28 1427.01 1286.03
328000 28.00 1508.34 1428.00 1306.25
333000 31.80 1509.38 1428.98 1338.24
338000 38.00 1522.01 1441.77 1361.42
343000 48.00 1541.09 1460.47 1389.14
348000 38.92 1567.13 1486.06 1425.62
353000 30.74 1590.84 1508.70 1450.76
358000 29.26 1604.51 1520.50 1475.69
363000 29.80 1617.40 1531.33 1501.30
368000 30.60 1633.52 1546.07 1518.63
373000 27.20 1654.87 1565.67 1537.26
378000 32.14 1680.79 1590.16 1558.91
383000 28.60 1703.14 1610.73 1581.24
390000 68.57 1705.16 1610.93 1407.06
394000 25.40 1705.16 1610.93 1424.61
399000 31.60 1705.41 1610.93 1444.58
404000 27.60 1705.41 1610.93 1463.74
409000 32.73 1706.96 1611.91 1486.79
414000 38.05 1715.21 1620.77 1509.05
419000 45.60 1728.10 1633.56 1538.87
424000 37.47 1741.25 1646.36 1559.54
429000 31.54 1754.14 1659.15 1578.02
434000 29.46 1765.48 1669.98 1603.97
439000 29.80 1777.09 1680.80 1630.33
444000 29.60 1790.75 1694.58 1644.88
449000 29.20 1802.09 1705.41 1670.08
454000 29.00 1813.44 1717.22 1694.04
459000 32.60 1833.84 1737.81 1713.48
464000 27.80 1854.63 1758.39 1734.34
469000 30.82 1879.25 1781.90 1751.45
474000 28.92 1901.61 1801.50 1774.46
479000 30.60 1924.76 1823.04 1803.11
484000 30.00 1949.57 1846.56 1816.66
489000 88.80 1914.70 1810.57 1427.22
494000 37.20 1914.71 1810.57 1443.46
499000 47.31 1914.71 1810.57 1475.91
504000 29.80 1914.71 1810.57 1488.19
509000 29.40 1914.71 1810.57 1514.41
514000 30.14 1914.71 1810.57 1530.21
519000 30.60 1914.71 1810.57 1557.37
524000 31.75 1914.71 1810.57 1577.83
529000 27.77 1914.71 1810.57 1597.04
534000 30.60 1914.71 1810.57 1626.17
539000 30.28 1914.71 1810.57 1639.95
544000 30.00 1914.71 1810.57 1666.20
549000 30.34 1914.71 1810.57 1693.35
554000 31.06 1914.96 1810.57 1709.59
559000 31.47 1915.22 1810.57 1728.95
564000 36.27 1919.98 1815.43 1757.22
569000 43.20 1929.65 1825.17 1780.05
574000 39.40 1939.04 1833.94 1803.56
579000 33.40 1955.10 1849.58 1825.90
584000 29.90 1979.82 1873.10 1841.32
589000 81.52 1952.33 1844.92 1469.95
594000 25.30 1952.33 1844.92 1495.99
599000 35.00 1952.33 1844.92 1513.75
604000 28.40 1952.33 1844.92 1535.52
609000 27.60 1953.10 1844.92 1554.26
614000 30.80 1953.10 1844.92 1584.35
619000 31.94 1953.10 1844.92 1605.65
624000 28.20 1953.10 1844.92 1626.43
629000 31.20 1953.10 1844.92 1643.44
634000 34.00 1953.10 1844.92 1668.45
639000 33.07 1953.10 1844.92 1692.50
644000 44.09 1953.10 1844.92 1715.14
649000 41.80 1953.10 1844.92 1751.05
654000 34.00 1953.10 1844.92 1781.53
659000 31.00 1956.45 1848.86 1799.82
664000 30.40 1968.31 1859.69 1826.19
669000 29.40 1983.26 1875.37 1849.68
674000 30.80 2004.62 1895.95 1864.53
679000 29.14 2024.37 1915.53 1888.12
688000 60.58 2017.62 1907.89 1391.75
692000 26.80 2017.62 1907.89 1419.28
697000 30.20 2017.62 1907.89 1432.83
702000 27.20 2017.62 1907.89 1450.58
707000 32.40 2017.62 1907.89 1483.78
712000 33.20 2017.62 1907.89 1505.52
717000 40.00 2017.62 1907.89 1519.39
722000 41.43 2017.62 1907.89 1550.89
727000 37.40 2017.62 1907.89 1569.23
732000 37.85 2017.62 1907.89 1592.29
737000 26.51 2017.62 1907.89 1619.42
742000 30.60 2017.62 1907.89 1635.07
747000 30.60 2017.62 1907.89 1663.54
752000 30.00 2017.62 1907.89 1676.75
757000 31.20 2017.62 1907.89 1706.87
762000 30.20 2017.62 1907.89 1720.47
767000 30.00 2017.62 1907.89 1747.27
772000 31.20 2025.62 1916.64 1764.55
777000 29.20 2033.81 1924.42 1788.98
785000 61.85 2019.88 1910.80 1414.69
789000 36.77 2019.88 1910.80 1430.37
794000 40.28 2019.88 1910.80 1456.96
799000 38.32 2019.88 1910.80 1478.38
804000 39.12 2019.88 1910.80 1504.48
809000 28.46 2020.39 1910.80 1525.79
814000 32.20 2020.39 1910.80 1546.35
819000 31.00 2020.39 1910.80 1562.58
824000 28.94 2020.39 1910.80 1586.37
829000 30.00 2020.39 1910.80 1612.71
834000 30.40 2020.39 1910.80 1627.17
839000 29.54 2020.39 1910.80 1652.32
844000 29.80 2020.39 1910.80 1676.93
849000 28.40 2020.39 1910.80 1697.30
854000 28.20 2020.39 1910.80 1717.81
859000 25.00 2020.39 1910.80 1728.79
864000 22.60 2020.39 1910.80 1744.65
869000 20.80 2020.39 1910.80 1767.18
874000 17.00 2020.65 1911.78 1777.65
879000 15.00 2023.42 1913.72 1779.89
884000 12.00 2025.43 1915.67 1787.17
889000 15.40 2026.86 1917.61 1788.72
894000 9.18 2027.63 1917.61 1785.54
899000 0.80 2027.63 1917.61 1786.30
904000 1.20 2027.89 1917.61 1789.27
909000 0.80 2027.89 1917.61 1791.52
914000 0.80 2027.89 1917.61 1792.02
919000 0.20 2027.89 1917.61 1792.39
924000 0.60 2027.89 1917.61 1792.73
929000 0.40 2027.89 1917.61 1793.11
934000 0.20 2027.89 1917.61 1793.20
939000 0.60 2027.89 1917.61 1793.70
944000 0.40 2027.89 1917.61 1794.08
949000 0.60 2027.89 1917.61 1794.42
954000 0.40 2027.89 1917.61 1794.79
959000 0.00 2027.89 1917.61 1794.88
964000 0.80 2027.89 1917.61 1795.39
969000 0.40 2027.89 1917.61 1795.76
974000 0.40 2027.89 1917.61 1796.10
979000 0.60 2027.89 1917.61 1796.47
984000 0.20 2027.89 1917.61 1796.56
989000 0.60 2027.89 1917.61 1797.07
994000 0.20 2027.89 1917.61 1797.43
999000 0.40 2027.89 1917.61 1797.78
1004000 2.80 2028.79 1918.58 1788.08
1009000 0.00 2028.79 1918.58 1788.10
1014000 0.20 2028.79 1918.58 1788.12
1019000 0.00 2028.79 1918.58 1788.14
1024000 0.00 2028.79 1918.58 1788.16
1029000 0.00 2028.79 1918.58 1788.18
1034000 0.00 2028.79 1918.58 1788.20
1039000 0.20 2028.79 1918.58 1788.22
1044000 0.00 2028.79 1918.58 1788.24
1049000 0.00 2028.79 1918.58 1788.28
1054000 0.20 2028.79 1918.58 1788.30
1059000 0.00 2028.79 1918.58 1788.32
1064000 0.00 2028.79 1918.58 1788.34
1069000 0.00 2028.79 1918.58 1788.36
1074000 0.20 2028.79 1918.58 1788.38
1079000 0.00 2028.79 1918.58 1788.40
1084000 0.00 2028.79 1918.58 1788.42
1089000 0.00 2028.79 1918.58 1788.44
