#clientCount    throughput1 latency1    throughput2 latency2    throughput4 latency4    throughput6 latency6    throughput8 latency8    throughput9 latency9    throughput10    latency10   throughput12    latency12
1   Null    Null    Null    Null    Null    Null    Null    Null    Null    Null    Null    Null    Null    Null    Null    Null
5   Null    Null    Null    Null    Null    Null    Null    Null    Null    Null    Null    Null    Null    Null    Null    Null
50  6.41    8.62    Null    Null    Null    Null    Null    Null    Null    Null    Null    Null    Null    Null    Null    Null
100 12.7    16.17   12.7    9.02    12.73   7.86    Null    Null    Null    Null    Null    Null    Null    Null    Null    Null
150 19.07   30.23   19  12.11   Null    Null    Null    Null    Null    Null    Null    Null    Null    Null    Null    Null
200 25.26   61.94   25.38   16.51   25.38   9.13    Null    Null    25.23   7.71    Null    Null    Null    Null    Null    Null
250 30.99   120.65  Null    Null    Null    Null    Null    Null    Null    Null    Null    Null    Null    Null    Null    Null
300 37  230.29  37.74   31.82   37.95   12.27   Null    Null    Null    Null    Null    Null    Null    Null    Null    Null
400 Null    Null    50.05   62.99   50.52   18.08   Null    Null    Null    Null    Null    Null    Null    Null    Null    Null
500 Null    Null    62.39   129.46  Null    Null    Null    Null    Null    Null    Null    Null    Null    Null    Null    Null
600 Null    Null    73.26   255.83  75.42   36.6    Null    Null    Null    Null    Null    Null    Null    Null    Null    Null
700 Null    Null    Null    Null    Null    Null    Null    Null    Null    Null    Null    Null    Null    Null    Null    Null
800 Null    Null    Null    Null    100.24  76.33   Null    Null    99.97   18.74   Null    Null    Null    Null    Null    Null
900 Null    Null    Null    Null    111.3   114.96  Null    Null    112.77  21.76   Null    Null    Null    Null    Null    Null
1000    Null    Null    Null    Null    122.77  164.05  Null    Null    125.21  26.56   Null    Null    Null    Null    Null    Null
1200    Null    Null    Null    Null    143.44  389.24  Null    Null    148.87  37.56   Null    Null    Null    Null    Null    Null
1300    Null    Null    Null    Null    Null    Null    Null    Null    162.09  47.37   Null    Null    Null    Null    Null    Null
1500    Null    Null    Null    Null    Null    Null    Null    Null    185.02  69.66   Null    Null    Null    Null    Null    Null
1550    Null    Null    Null    Null    Null    Null    Null    Null    191.14  84.47   Null    Null    Null    Null    Null    Null
1600    Null    Null    Null    Null    Null    Null    Null    Null    197.83  116.28  Null    Null    Null    Null    Null    Null
1700    Null    Null    Null    Null    Null    Null    Null    Null    209.65  137.25  Null    Null    Null    Null    Null    Null
1800    Null    Null    Null    Null    Null    Null    Null    Null    218.62  205.95  Null    Null    Null    Null    Null    Null
