#client count   throughput 1    latency 1   throughput 2    latency 2   throughput 4    latency 4   throughput 8    latency 8   throughput 9    latency 9   throughput 10   latency 10  throughput 12   latency 12
100 66.65   2.3 64.66   1.76    64.31   1.78    64.23   1.82    NAN NAN NAN NAN NAN NAN
200 133.5   2.8 126.82  1.92    125.91  1.84    127.26  1.98    NAN NAN NAN NAN NAN NAN
500 322.46  4.5 310.15  2.76    314.01  2.63    313.17  2.17    NAN NAN NAN NAN NAN NAN
800 530.7   9.93    494.47  3.43    495.93  3.43    491.25  2.63    NAN NAN NAN NAN NAN NAN
1000    661.59  15  606.33  3.60    613.80  2.36    624.23  2.23    NAN NAN NAN NAN NAN NAN
1500    973.65  41.6    892.95  7.86    910.68  3.71    914.92  3.00    NAN NAN NAN NAN NAN NAN
2000    985 527 1319.93 15.72   1190.83 4.56    1184.10 3.10    1173.26 3.09    1178.54 3.20    1176.74 3.06
3000    930.94  1396.73 1615.12 60.52   1713.88 8.00    1732.02 4.36    1716.43 3.85    1731.55 3.75    1738.65 3.89
4000    NAN NAN 1808.97 356.12  2636.93 16.58   2253.22 5.18    2245.34 4.58    2223.80 4.88    2243.83 5.05
5000    NAN NAN 1637.67 971.68  2663.67 28.65   2707.44 6.61    2733.17 6.54    2724.86 5.57    2732.26 5.43
6000    844.09  5023.36 NAN NAN 2995.10 78.76   3192.01 10.24   3192.91 8.54    3194.56 8.37    3188.42 7.74
7000    NAN NAN NAN NAN 3277.95 168.12  3591.45 13.34   3628.92 11.19   3616.87 9.87    3572.05 9.46
8000    NAN NAN NAN NAN 3061.84 487.61  3971.28 21.82   3926.24 19.57   3986.55 18.08   3907.87 20.58
9000    NAN NAN NAN NAN NAN NAN 4369.28 29.79   4374.25 29.80   4335.13 42.74   4281.26 67.21
10000   NAN NAN NAN NAN NAN NAN 4625.90 52.05   4595.88 74.98   4577.42 103.44  4366.38 225.97
11000   NAN NAN NAN NAN NAN NAN 4812.65 115.86  4714.25 169.60  NAN NAN NAN NAN
12000   NAN NAN NAN NAN NAN NAN NAN NAN 4540.31 399.77  NAN NAN NAN NAN
